City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,-31.26,99,97,0.84,RU,1707320895
1,iqaluit,63.7506,-68.5145,-21.15,65,75,8.23,CA,1707320896
2,morogoro,-6.8167,37.6667,24.93,86,54,0.83,TZ,1707320897
3,kisangani,0.5167,25.2,32.57,39,6,1.59,CD,1707320898
4,hola,51.5377,23.1902,3.1,81,100,6.54,PL,1707320899
5,new norfolk,-42.7826,147.0587,15.72,91,66,0.55,AU,1707320439
6,great falls,47.5002,-111.3008,-3.34,86,100,3.09,US,1707320901
7,olonkinbyen,70.9221,-8.7187,-2.27,61,76,8.04,SJ,1707320404
8,blackmans bay,-43.0167,147.3167,15.07,71,81,1.38,AU,1707320427
9,grytviken,-54.2811,-36.5092,11.04,86,85,6.09,GS,1707320376
10,adamstown,-25.066,-130.1015,24.68,86,100,4.69,PN,1707320905
11,crane,31.3974,-102.3501,12.35,60,100,8.03,US,1707320356
12,waitangi,-43.9535,-176.5597,16.57,96,93,2.35,NZ,1707320652
13,bredasdorp,-34.5322,20.0403,23.94,51,1,10.2,ZA,1707320409
14,worland,44.0169,-107.9554,3.71,100,75,3.09,US,1707320912
15,enewetak,11.3474,162.3373,26.64,80,100,9.74,MH,1707320440
16,whakatane,-37.9585,176.9854,18.76,95,47,1.32,NZ,1707320915
17,port-aux-francais,-49.35,70.2167,4.75,88,96,14.2,TF,1707320384
18,kampong cham,11.9934,105.4635,28.41,56,100,2.72,KH,1707320917
19,trairi,-3.2778,-39.2689,32.1,55,25,6.61,BR,1707320326
20,papatowai,-46.5619,169.4708,9.78,77,53,3.14,NZ,1707320919
21,sao tome,0.3365,6.7273,28.74,72,81,1.68,ST,1707320801
22,ushuaia,-54.8,-68.3,13.79,71,75,13.89,AR,1707320922
23,aasiaat,68.7098,-52.8699,-4.26,72,100,11.23,GL,1707320682
24,pokhvistnevo,53.6524,52.1274,-10.85,92,98,6.85,RU,1707320924
25,rongelap,11.1635,166.8941,26.3,80,96,9.21,MH,1707320925
26,mullovka,54.2,49.4,-11.1,89,94,4.36,RU,1707320926
27,edinburgh of the seven seas,-37.0676,-12.3116,17.32,62,48,1.36,SH,1707320369
28,port alfred,-33.5906,26.891,22.88,73,9,2.68,ZA,1707320506
29,bethel,41.3712,-73.414,5.1,60,0,3.09,US,1707320420
30,ventspils,57.3894,21.5606,-2.04,69,100,0.0,LV,1707320930
31,flying fish cove,-10.4217,105.6791,25.82,88,75,1.54,CX,1707320361
32,iwon-up,40.3231,128.6553,-3.15,80,7,2.07,KP,1707320932
33,dudinka,69.4058,86.1778,-16.88,99,96,2.01,RU,1707320447
34,makarska,43.2969,17.0178,13.55,88,100,6.56,HR,1707320935
35,puerto aysen,-45.4,-72.7,10.85,90,99,3.32,CL,1707320739
36,avarua,-21.2078,-159.775,27.03,83,75,6.17,CK,1707320365
37,utrik,11.2278,169.8474,26.14,75,100,10.32,MH,1707320357
38,albany,42.6001,-73.9662,1.0,68,53,0.89,US,1707320087
39,nsanje,-16.92,35.262,33.23,43,86,1.72,MW,1707320940
40,mount isa,-20.7333,139.5,28.87,48,75,4.63,AU,1707320941
41,inarajan village,13.2736,144.7484,26.54,77,100,7.37,GU,1707320465
42,port elizabeth,-33.918,25.5701,25.61,71,0,10.8,ZA,1707320520
43,puerto natales,-51.7236,-72.4875,12.25,58,75,10.29,CL,1707320943
44,choibalsan,48.0667,114.5,-20.71,91,18,2.89,MN,1707320944
45,kununurra,-15.7667,128.7333,23.99,94,100,2.06,AU,1707320776
46,stanley,54.868,-1.6985,4.77,79,20,5.14,GB,1707320397
47,khilok,51.3674,110.4676,-18.32,97,50,1.3,RU,1707320947
48,tiksi,71.6872,128.8694,-22.71,99,100,2.05,RU,1707320458
49,talnakh,69.4865,88.3972,-17.11,84,90,2.16,RU,1707320656
50,nadym,65.5333,72.5167,-1.05,94,100,6.79,RU,1707320419
51,brookings,44.3114,-96.7984,5.77,88,0,8.75,US,1707320773
52,nemuro,43.3236,145.575,-6.39,71,16,2.16,JP,1707320708
53,yellowknife,62.456,-114.3525,-18.1,84,75,3.09,CA,1707320403
54,praia da vitoria,38.7333,-27.0667,18.14,88,75,12.25,PT,1707320690
55,glendive,47.1053,-104.7125,0.79,93,100,5.66,US,1707320955
56,san patricio,28.017,-97.5169,18.8,68,100,7.08,US,1707320730
57,anadyr,64.75,177.4833,-17.72,84,100,10.0,RU,1707320363
58,tura,25.5198,90.2201,13.22,37,0,0.81,IN,1707320362
59,coxen hole,16.3244,-86.5366,24.6,61,40,2.57,HN,1707320958
60,areia branca,-4.9561,-37.1369,36.11,58,43,8.73,BR,1707320959
61,arraial do cabo,-22.9661,-42.0278,30.98,70,75,3.09,BR,1707320440
62,chonchi,-42.6128,-73.8092,15.56,39,31,1.72,CL,1707320960
63,sola,-13.8833,167.55,28.17,71,90,7.24,VU,1707320961
64,vanimo,-2.6741,141.3028,25.19,89,100,2.94,PG,1707320962
65,ishim,56.1128,69.4902,-3.31,88,100,5.36,RU,1707320963
66,doganyol,38.3118,39.0382,6.81,83,71,1.7,TR,1707320964
67,sona,45.4388,10.8255,13.6,76,75,2.57,IT,1707320966
68,vilyuchinsk,52.9306,158.4028,-6.71,92,100,2.1,RU,1707320538
69,yanam,16.7333,82.2167,22.73,87,0,1.03,IN,1707320968
70,punta arenas,-53.15,-70.9167,12.06,62,40,15.95,CL,1707320885
71,yaren,-0.5472,166.916,29.04,75,99,6.82,NR,1707320969
72,colonia,50.9333,6.95,6.03,87,75,1.03,DE,1707320356
73,priozersk,61.0393,30.1291,-7.73,78,100,4.75,RU,1707320971
74,sao joao da barra,-21.6403,-41.0511,32.05,75,99,3.69,BR,1707320686
75,vadso,70.0744,29.7487,-12.91,85,75,5.66,NO,1707320499
76,ta`u,-14.2336,-169.5144,28.61,83,100,11.2,AS,1707320700
